TYPE_NAME=Build_Buildings;KEYS=collection;;
collection;name;description;
"residential_collection"; "Жилое строение";"Отдельная постройка (здание, дом) постоянного типа, рассчитанная на длительный срок службы, вся или не менее половины площади которой предназначена и используется для проживания";
"nonresident_major_collection"; "Нежилое капитальное строение";"Объекты, перемещение которых без несоразмерного ущерба их назначению невозможно, в том числе здания, сооружения, объекты незавершенного строительства.";
"nonresident_minor_collection"; "Нежилое некапитальное строение";"Временную постройка, не обладающая прочной связью с землей, перемещение которой возможно без несоразмерного ущерба ее назначению.";

